股票代码,股票简称,现价(元),涨跌幅(%),流通股东名称(报告期)2024.06.30,流通股东持股数量(报告期)(股)2024.06.30,流通股东类型(报告期)2024.06.30,流通股东持股比例(报告期)(%)2024.06.30,流通股东持股市值,流通股东排名(报告期)2024.06.30,流通股东持股状态(报告期)2024.06.30
002636.SZ,金安国纪,6.64,3.27,香港中央结算有限公司,7594251.0,机构,1.04,48223493.85,3,增持
600869.SH,远东股份,3.54,0.28,香港中央结算有限公司,13834302.0,机构,0.62,48281713.98,6,减持
002967.SZ,广电计量,12.67,3.09,香港中央结算有限公司,4096872.0,机构,0.71,48343089.6,6,增持
300005.SZ,探路者,4.98,1.84,香港中央结算有限公司,9691116.0,机构,1.1,48552491.16,8,减持
600640.SH,国脉文化,9.61,3.56,香港中央结算有限公司,4720622.0,机构,0.59,48858437.7,8,增持
300702.SZ,天宇股份,14.26,-0.07,香港中央结算有限公司,2742025.0,机构,0.79,48890305.75,8,减持
002254.SZ,泰和新材,8.20,3.14,香港中央结算有限公司,5527306.0,机构,0.64,48916658.1,10,减持
605168.SH,三人行,24.95,4.83,香港中央结算有限公司,1858979.0,机构,0.87,48946917.07,5,减持
300850.SZ,新强联,14.38,2.06,香港中央结算有限公司,3258954.0,机构,0.91,48949489.08,6,增持
002079.SZ,苏州固锝,8.24,1.85,香港中央结算有限公司,5807816.0,机构,0.72,49482592.32,5,减持
600481.SH,双良节能,3.62,3.13,香港中央结算有限公司,10613123.0,机构,0.57,49563284.41,9,增持
300376.SZ,ST易事特,2.39,1.70,香港中央结算有限公司,12360628.0,机构,0.53,49566118.28,6,减持
603612.SH,索通发展,10.33,3.82,香港中央结算有限公司,3894543.0,机构,0.72,49694368.68,9,新进
600773.SH,西藏城投,11.08,1.74,香港中央结算有限公司,4832733.0,机构,0.51,49873804.56,3,减持
300102.SZ,乾照光电,6.13,3.90,香港中央结算有限公司,7774636.0,机构,0.85,49913163.12,7,减持
301316.SZ,慧博云通,14.53,3.71,香港中央结算有限公司,3421854.0,机构,0.86,50232816.72,10,新进
300123.SZ,亚光科技,4.40,2.09,香港中央结算有限公司,10846148.0,机构,1.06,50326126.72,5,减持
603711.SH,香飘飘,10.67,4.00,香港中央结算有限公司,3634524.0,机构,0.88,50338157.4,8,增持
000777.SZ,中核科技,13.19,1.54,香港中央结算有限公司,3294858.0,机构,0.86,50345430.24,7,增持
001337.SZ,四川黄金,21.31,1.33,香港中央结算有限公司,2174371.0,机构,0.52,50467150.91,10,新进
601106.SH,中国一重,2.32,2.20,香港中央结算有限公司,21850759.0,机构,0.32,50475253.29,4,减持
002146.SZ,荣盛发展,1.23,1.65,香港中央结算有限公司,33902928.0,机构,0.78,50515362.72,6,增持
688298.SH,东方生物,27.48,1.10,香港中央结算有限公司,1873753.0,机构,0.93,50872393.95,6,减持
000676.SZ,智度股份,6.23,10.07,香港中央结算有限公司,8381184.0,机构,0.66,50873786.88,4,减持
603327.SH,福蓉科技,10.57,1.93,香港中央结算有限公司,3966241.0,机构,0.53,51124846.49,5,新进
300758.SZ,七彩化学,10.11,0.60,香港中央结算有限公司,4761626.0,机构,1.17,51187479.5,8,新进
002017.SZ,东信和平,8.82,3.76,香港中央结算有限公司,6166722.0,机构,1.06,51368794.26,3,增持
300035.SZ,中科电气,8.06,2.54,香港中央结算有限公司,6039024.0,机构,0.83,51392094.24,8,增持
002302.SZ,西部建设,5.65,5.02,香港中央结算有限公司,9944516.0,机构,0.79,51711483.2,8,减持
688202.SH,美迪西,24.77,3.94,香港中央结算有限公司,1988088.0,机构,1.48,51789692.4,9,新进
000413.SZ,ST旭电,--,--,香港中央结算有限公司,36262377.0,机构,0.64,51855199.11,6,减持
601801.SH,皖新传媒,6.08,-1.78,香港中央结算有限公司,7482979.0,机构,0.38,51857044.47,8,减持
688439.SH,振华风光,42.87,1.64,香港中央结算有限公司,781679.0,机构,0.39,51942569.55,9,增持
600162.SH,香江控股,1.33,2.31,香港中央结算有限公司,39145462.0,机构,1.2,52063464.46,5,减持
600195.SH,中牧股份,5.74,3.05,香港中央结算有限公司,6951436.0,机构,0.68,52066255.64,7,减持
002752.SZ,昇兴股份,4.38,2.82,香港中央结算有限公司,10332798.0,机构,1.06,52283957.88,5,增持
002654.SZ,万润科技,9.08,1.00,香港中央结算有限公司,4827688.0,机构,0.57,52380414.8,10,减持
002292.SZ,奥飞娱乐,5.34,2.50,香港中央结算有限公司,8761170.0,机构,0.59,52391796.6,6,减持
300026.SZ,红日药业,3.16,1.94,香港中央结算有限公司,17198380.0,机构,0.57,52455059.0,7,增持
600158.SH,中体产业,6.72,2.44,香港中央结算有限公司,6823934.0,机构,0.71,52476052.46,8,减持
603918.SH,金桥信息,9.57,2.24,香港中央结算有限公司,5025132.0,机构,1.37,52512629.4,4,增持
000553.SZ,安道麦A,4.36,4.56,香港中央结算有限公司,11585207.0,机构,0.5,52596839.78,3,增持
001213.SZ,中铁特货,3.75,1.63,香港中央结算有限公司,13322927.0,机构,0.3,52625561.65,3,增持
300552.SZ,万集科技,25.73,1.26,香港中央结算有限公司,1408374.0,机构,0.66,52645020.12,4,新进
000402.SZ,金融街,2.23,4.21,香港中央结算有限公司,22417119.0,机构,0.75,52680229.65,7,增持
600268.SH,国电南自,5.86,2.45,香港中央结算有限公司,9265402.0,机构,0.91,52905445.42,2,减持
002239.SZ,奥特佳,2.36,2.16,香港中央结算有限公司,23045815.0,机构,0.71,53005374.5,7,减持
002929.SZ,润建股份,24.42,2.09,香港中央结算有限公司,1823432.0,机构,0.65,53080105.52,3,增持
600986.SH,浙文互联,4.12,3.00,香港中央结算有限公司,12652941.0,机构,0.85,53142352.2,6,减持
000968.SZ,蓝焰控股,5.61,1.81,香港中央结算有限公司,8368884.0,机构,0.87,53226102.24,6,新进
688559.SH,海目星,26.87,2.44,香港中央结算有限公司,1619675.0,机构,0.79,53271110.75,10,新进
688368.SH,晶丰明源,49.60,1.62,香港中央结算有限公司,962489.0,机构,1.1,53321890.6,7,减持
600961.SH,株冶集团,7.07,4.12,香港中央结算有限公司,5664663.0,机构,0.53,53474418.72,8,新进
002238.SZ,天威视讯,7.19,3.16,香港中央结算有限公司,6827020.0,机构,0.85,53592107.0,6,增持
688556.SH,高测股份,9.80,2.30,香港中央结算有限公司,4511539.0,机构,0.83,53642198.71,10,减持
300232.SZ,洲明科技,5.17,3.40,香港中央结算有限公司,10287446.0,机构,0.94,53700468.12,5,减持
301153.SZ,中科江南,20.19,11.98,香港中央结算有限公司,1910066.0,机构,0.55,53978465.16,8,减持
301367.SZ,怡和嘉业,66.09,1.24,香港中央结算有限公司,868068.0,机构,0.97,53993829.6,8,新进
300319.SZ,麦捷科技,8.26,2.86,香港中央结算有限公司,5802218.0,机构,0.67,54134693.94,7,减持
600330.SH,天通股份,5.89,3.15,香港中央结算有限公司,7961868.0,机构,0.65,54140702.4,7,增持
300443.SZ,金雷股份,15.49,-0.26,香港中央结算有限公司,3554112.0,机构,1.09,54484536.96,3,增持
603666.SH,亿嘉和,15.05,1.35,香港中央结算有限公司,3453337.0,机构,1.67,54493657.86,7,新进
002183.SZ,怡亚通,3.17,4.28,香港中央结算有限公司,19396843.0,机构,0.75,55087034.12,4,减持
002612.SZ,朗姿股份,12.94,4.95,香港中央结算有限公司,3990332.0,机构,0.9,55146388.24,5,减持
002101.SZ,广东鸿图,10.29,1.38,香港中央结算有限公司,5237453.0,机构,0.79,55150380.09,9,新进
300224.SZ,正海磁材,8.25,2.74,香港中央结算有限公司,5989809.0,机构,0.73,55465631.34,6,增持
002428.SZ,云南锗业,11.19,1.82,香港中央结算有限公司,5108601.0,机构,0.78,55479406.86,5,减持
300693.SZ,盛弘股份,21.63,5.00,香港中央结算有限公司,2658583.0,机构,0.85,55670728.02,6,新进
000158.SZ,常山北明,9.77,7.01,香港中央结算有限公司,8696226.0,机构,0.54,55742808.66,3,减持
002755.SZ,奥赛康,10.84,1.12,香港中央结算有限公司,5784315.0,机构,0.62,55818639.75,8,减持
603083.SH,剑桥科技,26.83,1.25,香港中央结算有限公司,1732034.0,机构,0.65,55910057.52,5,减持
300723.SZ,一品红,13.28,1.92,香港中央结算有限公司,2848211.0,机构,0.63,55967346.15,8,新进
688388.SH,嘉元科技,8.54,3.64,香港中央结算有限公司,5771220.0,机构,1.35,56269395.0,6,新进
000544.SZ,中原环保,7.09,1.87,香港中央结算有限公司,7150479.0,机构,0.73,56274269.73,4,增持
600648.SH,外高桥,8.87,1.72,香港中央结算有限公司,6367558.0,机构,0.56,56416563.88,10,减持
000885.SZ,城发环境,10.80,0.00,香港中央结算有限公司,4688671.0,机构,0.73,57061126.07,5,减持
300455.SZ,航天智装,10.13,2.63,香港中央结算有限公司,4620212.0,机构,0.64,57105820.32,7,减持
003022.SZ,联泓新科,12.98,1.56,香港中央结算有限公司,4173886.0,机构,0.31,57223977.06,6,减持
000059.SZ,华锦股份,3.80,4.68,香港中央结算有限公司,13667251.0,机构,0.85,57265781.69,6,减持
