股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
688612.SH,威迈斯,18.00,-0.88,24.77,8342929.00,221671623.53,163,--
688408.SH,中信博,66.64,1.43,24.65,33591088.00,3092590887.16,480,--
002149.SZ,西部材料,12.67,0.88,24.62,120179148.00,1677700906.08,143,--
002884.SZ,凌霄泵业,18.45,3.48,24.59,67128958.00,1288875993.60,208,--
301349.SZ,信德新材,23.49,2.80,24.57,10354341.00,286193985.24,85,--
002138.SZ,顺络电子,23.44,-0.55,24.34,184124685.00,5056063850.10,535,--
688037.SH,芯源微,59.30,3.22,24.21,33630145.00,2993082905.00,322,--
300677.SZ,英科医疗,21.70,-20.02,24.20,113464233.00,3041976086.73,444,--
688183.SH,生益电子,16.76,-5.20,24.20,74604734.00,1445839744.92,154,--
300910.SZ,瑞丰新材,36.45,1.82,24.15,49416157.00,2160474384.04,224,--
688409.SH,富创精密,32.86,2.66,24.13,42689742.00,1576959069.48,196,--
300604.SZ,长川科技,28.18,0.72,24.08,112409215.00,3054158371.55,320,--
002223.SZ,鱼跃医疗,31.67,2.89,24.06,225845720.00,8491799072.00,485,--
301413.SZ,安培龙,32.11,-1.23,23.94,5298269.00,219083423.15,459,--
605555.SH,德昌股份,15.83,-0.13,23.93,32472154.00,604306804.55,223,--
688376.SH,美埃科技,27.10,-0.91,23.83,11820577.00,370693294.72,116,--
300442.SZ,润泽科技,23.26,0.35,23.79,85366957.00,2044538620.15,355,--
300679.SZ,电连技术,33.22,1.84,23.74,84505512.00,3399656787.99,538,--
603179.SH,新泉股份,38.88,4.24,23.72,115605902.00,4536375594.48,315,--
300476.SZ,胜宏科技,27.82,-1.00,23.68,202470799.00,6531707975.74,532,--
688256.SH,寒武纪,210.01,-4.76,23.58,98238691.00,19517080939.64,738,--
833394.BJ,民士达,11.12,-1.51,23.57,10083483.00,141168762.00,31,--
301096.SZ,百诚医药,33.91,-1.02,23.51,16251139.00,943866153.12,150,--
301188.SZ,力诺特玻,11.61,-0.94,23.48,35416385.00,516016729.45,113,--
688213.SH,思特威,43.47,-1.16,23.35,75011625.00,3638063812.50,315,--
