ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,name
009248.OF,20240718,20240630,600519.SH,7761025.71,5289.0,6.33,0.0,易方达磐恒九个月持有C
960024.OF,20240718,20240630,600519.SH,47966044.32,32688.0,4.58,0.0,嘉实成长收益H
000585.OF,20240718,20240630,600519.SH,256793.25,175.0,1.86,0.0,嘉实对冲套利A
000176.OF,20240718,20240630,600519.SH,76914714.24,52416.0,5.67,0.0,嘉实沪深300增强A
011087.OF,20240718,20240630,600519.SH,4108692.0,2800.0,3.91,0.0,易方达瑞康C
011086.OF,20240718,20240630,600519.SH,4108692.0,2800.0,3.91,0.0,易方达瑞康A
005612.OF,20240718,20240630,600519.SH,22461338.73,15307.0,4.12,0.0,嘉实核心优势
007339.OF,20240718,20240630,600519.SH,4989126.0,3400.0,4.03,0.0,易方达沪深300ETF联接C
110020.OF,20240718,20240630,600519.SH,4989126.0,3400.0,4.03,0.0,易方达沪深300ETF联接A
007895.OF,20240718,20240630,600519.SH,45195612.0,30800.0,7.54,0.0,嘉实价值成长
070001.OF,20240718,20240630,600519.SH,47966044.32,32688.0,4.58,0.0,嘉实成长收益A
006605.OF,20240718,20240630,600519.SH,37808770.74,25766.0,6.17,0.0,嘉实消费精选C
011626.OF,20240718,20240630,600519.SH,47690175.0,32500.0,9.99,0.0,嘉实匠心回报A
014074.OF,20240718,20240630,600519.SH,13353249.0,9100.0,5.65,0.0,嘉实内需精选A
014075.OF,20240718,20240630,600519.SH,13353249.0,9100.0,5.65,0.0,嘉实内需精选C
012822.OF,20240718,20240630,600519.SH,2054346.0,1400.0,4.38,0.0,易方达悦丰一年持有C
012821.OF,20240718,20240630,600519.SH,2054346.0,1400.0,4.38,0.0,易方达悦丰一年持有A
006604.OF,20240718,20240630,600519.SH,37808770.74,25766.0,6.17,0.0,嘉实消费精选A
011627.OF,20240718,20240630,600519.SH,47690175.0,32500.0,9.99,0.0,嘉实匠心回报C
009179.OF,20240718,20240630,600519.SH,880434.0,600.0,9.42,0.0,嘉实中证主要消费ETF联接A
009180.OF,20240718,20240630,600519.SH,880434.0,600.0,9.42,0.0,嘉实中证主要消费ETF联接C
013517.OF,20240718,20240630,600519.SH,9083144.1,6190.0,8.54,0.0,易方达悦浦一年持有A
013518.OF,20240718,20240630,600519.SH,9083144.1,6190.0,8.54,0.0,易方达悦浦一年持有C
159627.SZ,20240718,20240630,600519.SH,2786573.61,1899.0,9.12,0.0,A100ETF
010275.OF,20240718,20240630,600519.SH,39766269.0,27100.0,5.97,0.0,嘉实优质精选A
010276.OF,20240718,20240630,600519.SH,39766269.0,27100.0,5.97,0.0,嘉实优质精选C
011841.OF,20240718,20240630,600519.SH,49889792.61,33999.0,7.57,0.0,嘉实兴锐优选一年持有A
011842.OF,20240718,20240630,600519.SH,49889792.61,33999.0,7.57,0.0,嘉实兴锐优选一年持有C
012076.OF,20240718,20240630,600519.SH,8657601.0,5900.0,11.69,0.0,易方达稳健添利C
012075.OF,20240718,20240630,600519.SH,8657601.0,5900.0,11.69,0.0,易方达稳健添利A
014904.OF,20240718,20240630,600519.SH,880434.0,600.0,4.06,0.0,易方达悦稳一年持有A
014905.OF,20240718,20240630,600519.SH,880434.0,600.0,4.06,0.0,易方达悦稳一年持有C
011246.OF,20240718,20240630,600519.SH,116807178.78,79602.0,8.21,0.01,嘉实阿尔法优选A
011247.OF,20240718,20240630,600519.SH,116807178.78,79602.0,8.21,0.01,嘉实阿尔法优选C
010361.OF,20240718,20240630,600519.SH,99666596.19,67921.0,7.84,0.01,嘉实品质优选A
014112.OF,20240718,20240630,600519.SH,256793.25,175.0,1.86,0.0,嘉实对冲套利C
012008.OF,20240718,20240630,600519.SH,78798843.0,53700.0,12.16,0.0,易方达稳健回报A
012009.OF,20240718,20240630,600519.SH,78798843.0,53700.0,12.16,0.0,易方达稳健回报C
010362.OF,20240718,20240630,600519.SH,99666596.19,67921.0,7.84,0.01,嘉实品质优选C
014216.OF,20240718,20240630,600519.SH,4989126.0,3400.0,4.63,0.0,嘉实绝对收益策略C
016134.OF,20240718,20240630,600519.SH,76914714.24,52416.0,5.67,0.0,嘉实沪深300增强C
012078.OF,20240718,20240630,600519.SH,6757330.95,4605.0,4.78,0.0,易方达悦夏一年持有C
012077.OF,20240718,20240630,600519.SH,6757330.95,4605.0,4.78,0.0,易方达悦夏一年持有A
110012.OF,20240718,20240630,600519.SH,40646703.0,27700.0,4.03,0.0,易方达科汇
012067.OF,20240718,20240630,600519.SH,53556800.22,36498.0,4.11,0.0,嘉实蓝筹优势A
012068.OF,20240718,20240630,600519.SH,53556800.22,36498.0,4.11,0.0,嘉实蓝筹优势C
110028.OF,20240718,20240630,600519.SH,101073823.2,68880.0,6.56,0.01,易方达安心回报B
110027.OF,20240718,20240630,600519.SH,101073823.2,68880.0,6.56,0.01,易方达安心回报A
011298.OF,20240718,20240630,600519.SH,8305427.4,5660.0,5.49,0.0,易方达悦安一年持有A
011299.OF,20240718,20240630,600519.SH,8305427.4,5660.0,5.49,0.0,易方达悦安一年持有C
019306.OF,20240718,20240630,600519.SH,15589551.36,10624.0,2.61,0.0,嘉实研究阿尔法C
110030.OF,20240718,20240630,600519.SH,34950295.02,23818.0,4.53,0.0,易方达沪深300量化增强
159510.SZ,20240718,20240630,600519.SH,10858686.0,7400.0,7.32,0.0,沪深300价值ETF
159523.SZ,20240718,20240630,600519.SH,3815214.0,2600.0,7.39,0.0,沪深300成长ETF
013290.OF,20240718,20240630,600519.SH,6603255.0,4500.0,11.26,0.0,工银食品饮料行业C
013289.OF,20240718,20240630,600519.SH,6603255.0,4500.0,11.26,0.0,工银食品饮料行业A
015365.OF,20240718,20240630,600519.SH,8518198.95,5805.0,3.51,0.0,中银动态策略C
163808.OF,20240718,20240630,600519.SH,28322094.39,19301.0,8.96,0.0,中银中证100指数增强
163809.OF,20240718,20240630,600519.SH,5282604.0,3600.0,4.45,0.0,中银蓝筹精选
163810.OF,20240718,20240630,600519.SH,5722821.0,3900.0,4.67,0.0,中银价值精选A
012236.OF,20240718,20240630,600519.SH,54586908.0,37200.0,6.01,0.0,中银持续增长C
163803.OF,20240718,20240630,600519.SH,54586908.0,37200.0,6.01,0.0,中银持续增长A
