ts_code,name
301179.SZ,泽宇智能
002048.SZ,宁波华翔
601028.SH,玉龙股份
688126.SH,沪硅产业
688234.SH,天岳先进
300286.SZ,安科瑞
600765.SH,中航重机
000425.SZ,徐工机械
002790.SZ,瑞尔特
002572.SZ,索菲亚
688005.SH,容百科技
688273.SH,麦澜德
603100.SH,川仪股份
002043.SZ,兔宝宝
600763.SH,通策医疗
300360.SZ,炬华科技
002078.SZ,太阳纸业
601899.SH,紫金矿业
835179.BJ,凯德石英
300498.SZ,温氏股份
002738.SZ,中矿资源
603181.SH,皇马科技
300142.SZ,沃森生物
300260.SZ,新莱应材
601567.SH,三星医疗
688117.SH,圣诺生物
603369.SH,今世缘
601918.SH,新集能源
837242.BJ,建邦科技
603885.SH,吉祥航空
688257.SH,新锐股份
000400.SZ,许继电气
300203.SZ,聚光科技
000338.SZ,潍柴动力
605166.SH,聚合顺
001332.SZ,锡装股份
300761.SZ,立华股份
301160.SZ,翔楼新材
002928.SZ,华夏航空
688271.SH,联影医疗
605090.SH,九丰能源
605117.SH,德业股份
300396.SZ,迪瑞医疗
688475.SH,萤石网络
300896.SZ,爱美客
002487.SZ,大金重工
603345.SH,安井食品
600862.SH,中航高科
688095.SH,福昕软件
688111.SH,金山办公
688107.SH,安路科技
301367.SZ,怡和嘉业
688084.SH,晶品特装
300858.SZ,科拓生物
688200.SH,华峰测控
003006.SZ,百亚股份
688772.SH,珠海冠宇
603009.SH,北特科技
600938.SH,中国海油
300408.SZ,三环集团
301004.SZ,嘉益股份
002533.SZ,金杯电工
301291.SZ,明阳电气
301308.SZ,江波龙
000860.SZ,顺鑫农业
603558.SH,健盛集团
002068.SZ,黑猫股份
600486.SH,扬农化工
002027.SZ,分众传媒
603712.SH,七一二
300575.SZ,中旗股份
600961.SH,株冶集团
002937.SZ,兴瑞科技
603659.SH,璞泰来
002150.SZ,通润装备
688389.SH,普门科技
002831.SZ,裕同科技
300294.SZ,博雅生物
603713.SH,密尔克卫
301227.SZ,森鹰窗业
600563.SH,法拉电子
300124.SZ,汇川技术
601128.SH,常熟银行
688372.SH,伟测科技
688087.SH,英科再生
002472.SZ,双环传动
300750.SZ,宁德时代
300470.SZ,中密控股
000100.SZ,TCL科技
300724.SZ,捷佳伟创
688244.SH,永信至诚
600487.SH,亨通光电
688552.SH,航天南湖
002311.SZ,海大集团
300003.SZ,乐普医疗
600690.SH,海尔智家
603338.SH,浙江鼎力
603518.SH,锦泓集团
301012.SZ,扬电科技
300059.SZ,东方财富
600276.SH,恒瑞医药
603209.SH,兴通股份
300416.SZ,苏试试验
688180.SH,君实生物
601799.SH,星宇股份
300223.SZ,北京君正
688297.SH,中无人机
688507.SH,索辰科技
300496.SZ,中科创达
600161.SH,天坛生物
002432.SZ,九安医疗
300196.SZ,长海股份
603063.SH,禾望电气
688543.SH,国科军工
300161.SZ,华中数控
002050.SZ,三花智控
002532.SZ,天山铝业
600873.SH,梅花生物
300760.SZ,迈瑞医疗
301333.SZ,诺思格
688236.SH,春立医疗
300207.SZ,欣旺达
002011.SZ,盾安环境
603308.SH,应流股份
688029.SH,南微医学
300795.SZ,米奥会展
002947.SZ,恒铭达
688347.SH,华虹公司
688110.SH,东芯股份
688503.SH,聚和材料
603855.SH,华荣股份
603678.SH,火炬电子
601059.SH,信达证券
600809.SH,山西汾酒
605098.SH,行动教育
601233.SH,桐昆股份
601001.SH,晋控煤业
000683.SZ,远兴能源
000521.SZ,长虹美菱
300193.SZ,佳士科技
603208.SH,江山欧派
300776.SZ,帝尔激光
000028.SZ,国药一致
688516.SH,奥特维
688326.SH,经纬恒润
300087.SZ,荃银高科
603611.SH,诺力股份
600511.SH,国药股份
688036.SH,传音控股
600066.SH,宇通客车
300627.SZ,华测导航
300666.SZ,江丰电子
300568.SZ,星源材质
603871.SH,嘉友国际
300866.SZ,安克创新
002139.SZ,拓邦股份
002315.SZ,焦点科技
000661.SZ,长春高新
601126.SH,四方股份
000880.SZ,潍柴重机
002271.SZ,东方雨虹
300015.SZ,爱尔眼科
002920.SZ,德赛西威
603979.SH,金诚信
002351.SZ,漫步者
300699.SZ,光威复材
600489.SH,中金黄金
300969.SZ,恒帅股份
603599.SH,广信股份
688568.SH,中科星图
000543.SZ,皖能电力
000603.SZ,盛达资源
688302.SH,海创药业
603699.SH,纽威股份
002843.SZ,泰嘉股份
600479.SH,千金药业
688484.SH,南芯科技
603018.SH,华设集团
688369.SH,致远互联
688059.SH,华锐精密
600887.SH,伊利股份
688075.SH,安旭生物
000426.SZ,兴业银锡
603501.SH,韦尔股份
688352.SH,颀中科技
002459.SZ,晶澳科技
002851.SZ,麦格米特
600435.SH,北方导航
600755.SH,厦门国贸
688047.SH,龙芯中科
603799.SH,华友钴业
000999.SZ,华润三九
000552.SZ,甘肃能化
603456.SH,九洲药业
600048.SH,保利发展
688147.SH,微导纳米
603806.SH,福斯特
600782.SH,新钢股份
001914.SZ,招商积余
688800.SH,瑞可达
601021.SH,春秋航空
300693.SZ,盛弘股份
603236.SH,移远通信
300073.SZ,当升科技
001286.SZ,陕西能源
600026.SH,中远海能
688577.SH,浙海德曼
300775.SZ,三角防务
002049.SZ,紫光国微
002949.SZ,华阳国际
832982.BJ,锦波生物
605377.SH,华旺科技
688538.SH,和辉光电
300938.SZ,信测标准
002916.SZ,深南电路
688188.SH,柏楚电子
002322.SZ,理工能科
688049.SH,炬芯科技
688018.SH,乐鑫科技
002296.SZ,辉煌科技
600933.SH,爱柯迪
605196.SH,华通线缆
600901.SH,江苏金租
000921.SZ,海信家电
603899.SH,晨光股份
002847.SZ,盐津铺子
688143.SH,长盈通
002436.SZ,兴森科技
300973.SZ,立高食品
601717.SH,郑煤机
688717.SH,艾罗能源
871694.BJ,中裕科技
605589.SH,圣泉集团
605319.SH,无锡振华
002299.SZ,圣农发展
000807.SZ,云铝股份
688116.SH,天奈科技
688191.SH,智洋创新
688522.SH,纳睿雷达
688425.SH,铁建重工
688017.SH,绿的谐波
002812.SZ,恩捷股份
600660.SH,福耀玻璃
300035.SZ,中科电气
688501.SH,青达环保
300144.SZ,宋城演艺
600970.SH,中材国际
601838.SH,成都银行
603348.SH,文灿股份
300118.SZ,东方日升
002906.SZ,华阳集团
430047.BJ,诺思兰德
300251.SZ,光线传媒
688139.SH,海尔生物
300244.SZ,迪安诊断
300406.SZ,九强生物
001380.SZ,华纬科技
002801.SZ,微光股份
688300.SH,联瑞新材
300384.SZ,三联虹普
300151.SZ,昌红科技
001309.SZ,德明利
603901.SH,永创智能
688290.SH,景业智能
300685.SZ,艾德生物
301529.SZ,福赛科技
688031.SH,星环科技
688286.SH,敏芯股份
600150.SH,中国船舶
600971.SH,恒源煤电
688295.SH,中复神鹰
600323.SH,瀚蓝环境
603727.SH,博迈科
600985.SH,淮北矿业
002938.SZ,鹏鼎控股
688208.SH,道通科技
300034.SZ,钢研高纳
600587.SH,新华医疗
000682.SZ,东方电子
002182.SZ,宝武镁业
688063.SH,派能科技
002557.SZ,洽洽食品
603119.SH,浙江荣泰
603886.SH,元祖股份
688696.SH,极米科技
300733.SZ,西菱动力
002460.SZ,赣锋锂业
603198.SH,迎驾贡酒
002594.SZ,比亚迪
601333.SH,广深铁路
688085.SH,三友医疗
600750.SH,江中药业
002609.SZ,捷顺科技
000333.SZ,美的集团
600885.SH,宏发股份
600398.SH,海澜之家
300638.SZ,广和通
688401.SH,路维光电
605376.SH,博迁新材
300136.SZ,信维通信
300783.SZ,三只松鼠
002130.SZ,沃尔核材
688439.SH,振华风光
600546.SH,山煤国际
603368.SH,柳药集团
688373.SH,盟科药业
603309.SH,维力医疗
301073.SZ,君亭酒店
002044.SZ,美年健康
002837.SZ,英维克
300146.SZ,汤臣倍健
688108.SH,赛诺医疗
601689.SH,拓普集团
300413.SZ,芒果超媒
000888.SZ,峨眉山A
601865.SH,福莱特
603393.SH,新天然气
000726.SZ,鲁泰A
688518.SH,联赢激光
600258.SH,首旅酒店
600820.SH,隧道股份
601666.SH,平煤股份
688103.SH,国力股份
000915.SZ,华特达因
603995.SH,甬金股份
000811.SZ,冰轮环境
603187.SH,海容冷链
000738.SZ,航发控制
688283.SH,坤恒顺维
833429.BJ,康比特
688166.SH,博瑞医药
603197.SH,保隆科技
000630.SZ,铜陵有色
601168.SH,西部矿业
300033.SZ,同花顺
600030.SH,中信证券
688768.SH,容知日新
000600.SZ,建投能源
002465.SZ,海格通信
600600.SH,青岛啤酒
002252.SZ,上海莱士
688610.SH,埃科光电
600612.SH,老凤祥
600547.SH,山东黄金
300390.SZ,天华新能
300580.SZ,贝斯特
603337.SH,杰克股份
002595.SZ,豪迈科技
002035.SZ,华帝股份
600282.SH,南钢股份
002073.SZ,软控股份
688539.SH,高华科技
002241.SZ,歌尔股份
300806.SZ,斯迪克
688398.SH,赛特新材
603876.SH,鼎胜新材
603878.SH,武进不锈
002270.SZ,华明装备
000039.SZ,中集集团
002402.SZ,和而泰
603893.SH,瑞芯微
600031.SH,三一重工
601607.SH,上海医药
300737.SZ,科顺股份
688595.SH,芯海科技
600312.SH,平高电气
601975.SH,招商南油
603612.SH,索通发展
600183.SH,生益科技
301283.SZ,聚胶股份
601939.SH,建设银行
300893.SZ,松原股份
688416.SH,恒烁股份
688310.SH,迈得医疗
002555.SZ,三七互娱
600837.SH,海通证券
002123.SZ,梦网科技
300373.SZ,扬杰科技
603225.SH,新凤鸣
002714.SZ,牧原股份
688308.SH,欧科亿
600997.SH,开滦股份
002993.SZ,奥海科技
300418.SZ,昆仑万维
300450.SZ,先导智能
688700.SH,东威科技
601965.SH,中国汽研
600309.SH,万华化学
300320.SZ,海达股份
002317.SZ,众生药业
600894.SH,广日股份
300474.SZ,景嘉微
000951.SZ,中国重汽
600085.SH,同仁堂
601000.SH,唐山港
002380.SZ,科远智慧
002240.SZ,盛新锂能
688510.SH,航亚科技
688600.SH,皖仪科技
688720.SH,艾森股份
300559.SZ,佳发教育
002244.SZ,滨江集团
688246.SH,嘉和美康
600373.SH,中文传媒
688105.SH,诺唯赞
688767.SH,博拓生物
600685.SH,中船防务
605111.SH,新洁能
301080.SZ,百普赛斯
600872.SH,中炬高新
301393.SZ,昊帆生物
603667.SH,五洲新春
300009.SZ,安科生物
001308.SZ,康冠科技
603556.SH,海兴电力
301101.SZ,明月镜片
001979.SZ,招商蛇口
430476.BJ,海能技术
603589.SH,口子窖
603055.SH,台华新材
600197.SH,伊力特
301525.SZ,儒竞科技
603267.SH,鸿远电子
300001.SZ,特锐德
688125.SH,安达智能
000858.SZ,五粮液
600038.SH,中直股份
688073.SH,毕得医药
600057.SH,厦门象屿
600757.SH,长江传媒
002056.SZ,横店东磁
300986.SZ,志特新材
001323.SZ,慕思股份
600233.SH,圆通速递
301162.SZ,国能日新
688006.SH,杭可科技
301276.SZ,嘉曼服饰
603889.SH,新澳股份
300636.SZ,同和药业
301095.SZ,广立微
603237.SH,五芳斋
833075.BJ,柏星龙
002986.SZ,宇新股份
300919.SZ,中伟股份
601600.SH,中国铝业
603027.SH,千禾味业
002304.SZ,洋河股份
603896.SH,寿仙谷
002385.SZ,大北农
688396.SH,华润微
002281.SZ,光迅科技
000651.SZ,格力电器
001316.SZ,润贝航科
603707.SH,健友股份
832978.BJ,开特股份
600256.SH,广汇能源
300673.SZ,佩蒂股份
600416.SH,湘电股份
605020.SH,永和股份
605108.SH,同庆楼
600089.SH,特变电工
002749.SZ,国光股份
002531.SZ,天顺风能
300740.SZ,水羊股份
688217.SH,睿昂基因
603737.SH,三棵树
000887.SZ,中鼎股份
300558.SZ,贝达药业
000650.SZ,仁和药业
603300.SH,华铁应急
301520.SZ,万邦医药
600893.SH,航发动力
688556.SH,高测股份
002156.SZ,通富微电
688016.SH,心脉医疗
300357.SZ,我武生物
002230.SZ,科大讯飞
301108.SZ,洁雅股份
301093.SZ,华兰股份
603444.SH,吉比特
688312.SH,燕麦科技
000983.SZ,山西焦煤
688550.SH,瑞联新材
688553.SH,汇宇制药
300130.SZ,新国都
601077.SH,渝农商行
002706.SZ,良信股份
000768.SZ,中航西飞
601688.SH,华泰证券
688375.SH,国博电子
603867.SH,新化股份
605598.SH,上海港湾
688719.SH,爱科赛博
688631.SH,莱斯信息
002841.SZ,视源股份
002215.SZ,诺普信
000729.SZ,燕京啤酒
832491.BJ,奥迪威
603565.SH,中谷物流
688289.SH,圣湘生物
002466.SZ,天齐锂业
300601.SZ,康泰生物
300652.SZ,雷迪克
688025.SH,杰普特
300676.SZ,华大基因
300316.SZ,晶盛机电
300857.SZ,协创数据
603786.SH,科博达
002063.SZ,远光软件
300820.SZ,英杰电气
002407.SZ,多氟多
600760.SH,中航沈飞
002558.SZ,巨人网络
600027.SH,华电国际
600702.SH,舍得酒业
002780.SZ,三夫户外
000923.SZ,河钢资源
688071.SH,华依科技
002507.SZ,涪陵榨菜
688348.SH,昱能科技
000657.SZ,中钨高新
003028.SZ,振邦智能
600699.SH,均胜电子
300451.SZ,创业慧康
688157.SH,松井股份
600754.SH,锦江酒店
688106.SH,金宏气体
600801.SH,华新水泥
601728.SH,中国电信
300827.SZ,上能电气
601311.SH,骆驼股份
300791.SZ,仙乐健康
603301.SH,振德医疗
688561.SH,奇安信
600131.SH,国网信通
603681.SH,永冠新材
600123.SH,兰花科创
688698.SH,伟创电气
688472.SH,阿特斯
600132.SH,重庆啤酒
601702.SH,华峰铝业
600273.SH,嘉化能源
601872.SH,招商轮船
605088.SH,冠盛股份
002605.SZ,姚记科技
600557.SH,康缘药业
301362.SZ,民爆光电
000739.SZ,普洛药业
603993.SH,洛阳钼业
300433.SZ,蓝思科技
002120.SZ,韵达股份
688319.SH,欧林生物
301550.SZ,斯菱股份
688603.SH,天承科技
300687.SZ,赛意信息
000977.SZ,浪潮信息
603298.SH,杭叉集团
002648.SZ,卫星化学
600459.SH,贵研铂业
600301.SH,华锡有色
300383.SZ,光环新网
300999.SZ,金龙鱼
300856.SZ,科思股份
600062.SH,华润双鹤
603019.SH,中科曙光
002074.SZ,国轩高科
600395.SH,盘江股份
301207.SZ,华兰疫苗
600673.SH,东阳光
603728.SH,鸣志电器
600153.SH,建发股份
002508.SZ,老板电器
301039.SZ,中集车辆
603087.SH,甘李药业
000589.SZ,贵州轮胎
300853.SZ,申昊科技
000404.SZ,长虹华意
688697.SH,纽威数控
000932.SZ,华菱钢铁
688296.SH,和达科技
603057.SH,紫燕食品
688261.SH,东微半导
688048.SH,长光华芯
836239.BJ,长虹能源
603883.SH,老百姓
603323.SH,苏农银行
600420.SH,国药现代
688268.SH,华特气体
002007.SZ,华兰生物
002601.SZ,龙佰集团
601098.SH,中南传媒
601966.SH,玲珑轮胎
000063.SZ,中兴通讯
600521.SH,华海药业
300769.SZ,德方纳米
301045.SZ,天禄科技
600298.SH,安琪酵母
603151.SH,邦基科技
300101.SZ,振芯科技
603919.SH,金徽酒
300595.SZ,欧普康视
300996.SZ,普联软件
000513.SZ,丽珠集团
301171.SZ,易点天下
688403.SH,汇成股份
603228.SH,景旺电子
301486.SZ,致尚科技
000786.SZ,北新建材
688779.SH,五矿新能
002965.SZ,祥鑫科技
600694.SH,大商股份
605016.SH,百龙创园
301272.SZ,英华特
688629.SH,华丰科技
603613.SH,国联股份
603186.SH,华正新材
301155.SZ,海力风电
603588.SH,高能环境
688298.SH,东方生物
605033.SH,美邦股份
601318.SH,中国平安
002966.SZ,苏州银行
002746.SZ,仙坛股份
833171.BJ,国航远洋
688383.SH,新益昌
002236.SZ,大华股份
601339.SH,百隆东方
601615.SH,明阳智能
000725.SZ,京东方A
600195.SH,中牧股份
002340.SZ,格林美
688661.SH,和林微纳
301097.SZ,天益医疗
301117.SZ,佳缘科技
002791.SZ,坚朗五金
600549.SH,厦门钨业
688132.SH,邦彦技术
600879.SH,航天电子
603920.SH,世运电路
301267.SZ,华厦眼科
601117.SH,中国化学
601012.SH,隆基绿能
688515.SH,裕太微
300430.SZ,诚益通
830839.BJ,万通液压
831087.BJ,秋乐种业
688778.SH,厦钨新能
839493.BJ,并行科技
601985.SH,中国核电
002997.SZ,瑞鹄模具
002185.SZ,华天科技
002675.SZ,东诚药业
000830.SZ,鲁西化工
600926.SH,杭州银行
301106.SZ,骏成科技
001270.SZ,铖昌科技
002345.SZ,潮宏基
603307.SH,扬州金泉
000422.SZ,湖北宜化
000157.SZ,中联重科
601377.SH,兴业证券
603939.SH,益丰药房
002324.SZ,普利特
002439.SZ,启明星辰
832471.BJ,美邦科技
600845.SH,宝信软件
000762.SZ,西藏矿业
000035.SZ,中国天楹
000998.SZ,隆平高科
600418.SH,江淮汽车
002096.SZ,易普力
600570.SH,恒生电子
002737.SZ,葵花药业
301103.SZ,何氏眼科
601699.SH,潞安环能
001205.SZ,盛航股份
688357.SH,建龙微纳
600483.SH,福能股份
002739.SZ,万达电影
688625.SH,呈和科技
301236.SZ,软通动力
002930.SZ,宏川智慧
600160.SH,巨化股份
688065.SH,凯赛生物
688278.SH,特宝生物
000906.SZ,浙商中拓
688611.SH,杭州柯林
688088.SH,虹软科技
002615.SZ,哈尔斯
002646.SZ,天佑德酒
688508.SH,芯朋微
600266.SH,城建发展
603605.SH,珀莱雅
002192.SZ,融捷股份
688248.SH,南网科技
600585.SH,海螺水泥
605333.SH,沪光股份
600201.SH,生物股份
001228.SZ,永泰运
000002.SZ,万科A
603201.SH,常润股份
002853.SZ,皮阿诺
603590.SH,康辰药业
601208.SH,东材科技
300900.SZ,广联航空
603239.SH,浙江仙通
600199.SH,金种子酒
002389.SZ,航天彩虹
603127.SH,昭衍新药
003020.SZ,立方制药
002129.SZ,TCL中环
600155.SH,华创云信
002128.SZ,电投能源
002292.SZ,奥飞娱乐
002429.SZ,兆驰股份
601677.SH,明泰铝业
603520.SH,司太立
002659.SZ,凯文教育
300191.SZ,潜能恒信
301165.SZ,锐捷网络
688668.SH,鼎通科技
603833.SH,欧派家居
300841.SZ,康华生物
000902.SZ,新洋丰
002588.SZ,史丹利
002897.SZ,意华股份
600661.SH,昂立教育
688636.SH,智明达
600176.SH,中国巨石
603966.SH,法兰泰克
000690.SZ,宝新能源
300192.SZ,科德教育
301381.SZ,赛维时代
603160.SH,汇顶科技
688100.SH,威胜信息
601111.SH,中国国航
001289.SZ,龙源电力
002225.SZ,濮耐股份
002142.SZ,宁波银行
002697.SZ,红旗连锁
688368.SH,晶丰明源
601555.SH,东吴证券
300972.SZ,万辰集团
003021.SZ,兆威机电
600348.SH,华阳股份
002233.SZ,塔牌集团
002859.SZ,洁美科技
000598.SZ,兴蓉环境
301129.SZ,瑞纳智能
600919.SH,江苏银行
688513.SH,苑东生物
002415.SZ,海康威视
000960.SZ,锡业股份
688009.SH,中国通号
301548.SZ,崇德科技
300861.SZ,美畅股份
688152.SH,麒麟信安
002597.SZ,金禾实业
603008.SH,喜临门
002550.SZ,千红制药
600482.SH,中国动力
002867.SZ,周大生
601211.SH,国泰君安
603112.SH,华翔股份
600958.SH,东方证券
002960.SZ,青鸟消防
601601.SH,中国太保
600064.SH,南京高科
001322.SZ,箭牌家居
301011.SZ,华立科技
002873.SZ,新天药业
600745.SH,闻泰科技
688305.SH,科德数控
300174.SZ,元力股份
000922.SZ,佳电股份
002372.SZ,伟星新材
002918.SZ,蒙娜丽莎
688237.SH,超卓航科
603600.SH,永艺股份
838670.BJ,恒进感应
688010.SH,福光股份
603136.SH,天目湖
600378.SH,昊华科技
002643.SZ,万润股份
600707.SH,彩虹股份
603517.SH,绝味食品
603277.SH,银都股份
600566.SH,济川药业
600295.SH,鄂尔多斯
688578.SH,艾力斯
002497.SZ,雅化集团
600998.SH,九州通
600674.SH,川投能源
300888.SZ,稳健医疗
600438.SH,通威股份
300525.SZ,博思软件
836208.BJ,青矩技术
000799.SZ,酒鬼酒
300031.SZ,宝通科技
600741.SH,华域汽车
600011.SH,华能国际
603619.SH,中曼石油
603658.SH,安图生物
300363.SZ,博腾股份
002255.SZ,海陆重工
688252.SH,天德钰
002020.SZ,京新药业
002019.SZ,亿帆医药
600886.SH,国投电力
603486.SH,科沃斯
600415.SH,小商品城
000848.SZ,承德露露
600582.SH,天地科技
000963.SZ,华东医药
000519.SZ,中兵红箭
300331.SZ,苏大维格
600383.SH,金地集团
002752.SZ,昇兴股份
002159.SZ,三特索道
688519.SH,南亚新材
601136.SH,首创证券
