ts_code,MA120,MA250,PC120,PC250
002627.SZ,4.9,5.09,-0.05544,-0.15129
002628.SZ,2.25,2.74,-0.12992,-0.35569
002629.SZ,2.12,3.02,-0.41237,-0.57673
002630.SZ,2.43,2.43,0.02941,-0.05769
002631.SZ,4.18,5.01,-0.13666,-0.28159
002632.SZ,7.54,7.36,0.03351,0.1594
002633.SZ,6.83,8.5,0.04463,-0.2628
002634.SZ,4.28,5.71,-0.46341,-0.66821
002635.SZ,14.32,14.03,-0.01926,0.0609
002636.SZ,6.58,7.62,-0.00774,-0.27076
002637.SZ,8.72,9.47,0.05799,-0.21884
002638.SZ,1.83,2.24,-0.25234,-0.45946
002639.SZ,5.79,6.6,-0.21203,-0.29215
002640.SZ,1.96,2.87,-0.48014,-0.63452
002641.SZ,4.35,4.81,-0.20374,-0.33159
002642.SZ,5.81,6.93,-0.19568,-0.11177
002643.SZ,11.07,13.64,-0.43657,-0.50998
002644.SZ,7.2,8.5,-0.10661,-0.4126
002645.SZ,8.1,8.99,-0.25619,-0.38861
002646.SZ,10.84,12.22,-0.19178,-0.38198
002647.SZ,3.98,4.97,-0.18936,-0.35642
002648.SZ,17.84,16.55,-0.0454,0.10972
002649.SZ,8.73,10.23,-0.25319,-0.40916
002651.SZ,5.63,6.24,-0.11972,-0.31973
002652.SZ,2.49,2.75,0.26667,-0.08946
002653.SZ,29.1,25.96,0.26023,0.45764
002654.SZ,10.51,11.38,-0.15617,0.04736
002655.SZ,10.54,11.19,0.05395,-0.05635
002657.SZ,12.59,14.87,-0.29376,-0.35261
002658.SZ,5.81,6.76,-0.14809,-0.3728
002659.SZ,3.69,4.01,-0.10539,-0.17978
002660.SZ,7.59,8.39,-0.13043,-0.1954
002661.SZ,8.05,8.69,0.13715,-0.17488
002662.SZ,3.08,3.25,-0.09667,-0.15839
002663.SZ,1.42,1.64,-0.15287,-0.3814
002664.SZ,13.49,14.65,-0.19149,-0.1828
002666.SZ,3.99,4.42,-0.14699,-0.2686
002667.SZ,6.29,8.89,-0.27757,-0.57494
002668.SZ,9.2,8.05,0.13564,0.13867
002669.SZ,9.01,10.42,-0.14919,-0.40469
002670.SZ,9.5,9.63,-0.04262,-0.0935
002671.SZ,3.86,4.44,-0.13382,-0.24576
002672.SZ,4.07,4.71,-0.23973,-0.4689
002673.SZ,6.69,6.63,-0.10098,-0.0737
002674.SZ,10.51,11.24,-0.25186,-0.356
002675.SZ,13.12,14.87,-0.18245,-0.11796
002676.SZ,4.37,4.42,0.1027,0.0303
002677.SZ,8.59,9.38,-0.25514,-0.34506
002678.SZ,4.0,4.73,-0.18707,-0.38569
002679.SZ,7.73,9.97,-0.23977,-0.47198
002681.SZ,3.98,4.4,-0.03956,-0.06424
002682.SZ,4.12,4.73,-0.24053,-0.20141
002683.SZ,20.38,20.42,0.05464,-0.12807
002685.SZ,2.89,3.23,-0.10888,-0.13128
002686.SZ,4.5,5.33,-0.20367,-0.37838
002687.SZ,4.67,4.92,-0.25,-0.2334
002688.SZ,3.93,4.28,0.04816,-0.21277
002689.SZ,2.78,3.48,-0.38583,-0.44153
002690.SZ,16.92,18.23,-0.30798,-0.44211
002691.SZ,5.11,5.84,-0.22479,-0.23987
002692.SZ,3.65,3.84,-0.05899,-0.09946
002693.SZ,5.14,6.11,-0.22403,-0.30219
002694.SZ,4.17,5.29,-0.37244,-0.57288
002695.SZ,7.29,8.86,-0.20377,-0.42297
002696.SZ,4.38,5.33,-0.18162,-0.41562
002697.SZ,4.82,4.96,-0.09247,-0.24508
002698.SZ,13.77,14.13,-0.19048,-0.36601
002701.SZ,4.36,4.34,0.01874,-0.01806
002702.SZ,3.88,4.69,-0.23529,-0.41899
002703.SZ,11.93,13.29,-0.21045,-0.40091
002705.SZ,15.2,15.42,-0.14983,-0.25673
002706.SZ,7.17,8.23,-0.23607,-0.47107
002707.SZ,6.45,6.8,-0.06051,-0.22857
002708.SZ,8.11,8.06,-0.17366,-0.01253
002709.SZ,18.93,22.15,-0.27924,-0.59094
002712.SZ,4.3,5.04,-0.24554,-0.42024
002713.SZ,3.44,5.38,-0.61186,-0.72276
002714.SZ,43.96,41.01,-0.04284,-0.05788
002715.SZ,12.55,13.65,0.02442,-0.28733
002716.SZ,3.31,3.0,0.01379,0.03521
002717.SZ,1.5,2.26,-0.55702,-0.69301
002718.SZ,11.07,13.48,-0.15144,-0.4044
002719.SZ,6.8,8.71,-0.21129,-0.50331
002722.SZ,12.13,13.13,-0.07648,-0.16257
002723.SZ,7.06,8.6,-0.37435,-0.5585
002724.SZ,4.98,6.35,-0.27835,-0.50178
002725.SZ,8.77,9.53,-0.13058,-0.13058
002726.SZ,6.87,7.27,-0.0303,-0.12386
002727.SZ,17.26,19.86,-0.36723,-0.50276
002728.SZ,10.26,13.66,-0.51449,-0.52298
002729.SZ,11.25,15.38,-0.2185,-0.43615
002730.SZ,7.04,7.91,-0.15041,-0.28261
002731.SZ,9.09,10.22,-0.24976,-0.41926
002732.SZ,15.66,17.83,-0.20643,-0.40062
002733.SZ,11.88,13.04,-0.22416,-0.26381
002734.SZ,6.88,7.42,0.05643,-0.1899
002735.SZ,10.66,11.27,-0.22222,-0.30603
002736.SZ,8.71,8.9,0.05855,-0.11719
002737.SZ,25.72,25.29,-0.17594,-0.01693
002738.SZ,31.67,34.1,-0.19756,-0.29278
002739.SZ,12.81,12.74,-0.24326,-0.31394
002741.SZ,10.81,12.4,-0.10936,-0.26218
002743.SZ,4.0,4.77,-0.13876,-0.38567
002745.SZ,8.04,8.27,0.02243,-0.09674
002746.SZ,6.0,6.66,-0.11736,-0.33049
002747.SZ,15.19,17.09,-0.33478,-0.45984
002749.SZ,15.5,13.59,-0.1827,0.28915
002752.SZ,5.06,5.06,0.01106,-0.03992
002753.SZ,6.09,6.71,-0.03793,-0.20626
002755.SZ,10.16,9.77,0.30394,0.44103
002756.SZ,41.48,45.16,-0.376,-0.35832
002757.SZ,12.8,13.72,-0.22718,-0.18049
002758.SZ,8.61,9.7,-0.23621,-0.38782
002759.SZ,8.14,9.47,-0.30145,-0.54061
002760.SZ,14.49,17.98,-0.14449,-0.43003
002761.SZ,8.4,9.96,-0.17127,-0.49359
002762.SZ,5.89,7.31,-0.29404,-0.44767
002763.SZ,6.99,7.63,-0.12552,-0.25499
002765.SZ,4.91,5.68,-0.01027,-0.26859
002766.SZ,4.51,4.86,-0.02088,-0.18217
002767.SZ,12.23,13.61,-0.06373,-0.09531
002768.SZ,19.87,20.37,-0.06492,-0.19874
002769.SZ,5.76,6.95,-0.19558,-0.41096
002771.SZ,17.86,20.13,-0.38198,-0.00193
002772.SZ,6.61,7.34,-0.11493,-0.32383
002773.SZ,20.49,18.61,0.12669,0.27637
002774.SZ,6.55,7.17,-0.06369,-0.23933
002775.SZ,2.29,3.06,-0.14341,-0.49195
002777.SZ,16.94,21.3,-0.38649,-0.62756
002778.SZ,10.61,12.18,-0.04913,-0.3562
002779.SZ,32.46,27.67,-0.0923,0.34423
002780.SZ,10.3,11.41,-0.15716,-0.28831
002782.SZ,10.86,11.86,-0.06977,-0.13043
002783.SZ,7.79,8.41,-0.18685,-0.12963
002785.SZ,25.45,25.8,-0.1312,0.09108
002786.SZ,9.19,9.99,-0.52239,0.02283
002787.SZ,7.01,7.79,-0.04328,-0.31753
002788.SZ,8.05,8.54,-0.03891,-0.19457
002789.SZ,9.1,11.42,-0.11311,-0.45766
002790.SZ,10.04,10.57,-0.28662,-0.36252
002791.SZ,30.53,38.2,-0.41722,-0.65448
002792.SZ,13.0,14.66,-0.32667,-0.28318
