ts_code,symbol,name,industry,market,list_date,circ_mv
300502.SZ,300502,新易盛,通信设备,创业板,2016-03-03,5654532.8941
300503.SZ,300503,昊志机电,机械基件,创业板,2016-03-09,313443.4529
300504.SZ,300504,天邑股份,通信设备,创业板,2018-03-30,333776.1332
300507.SZ,300507,苏奥传感,汽车配件,创业板,2016-04-29,401375.6952
300516.SZ,300516,久之洋,电器仪表,创业板,2016-06-02,490680.0
300520.SZ,300520,科大国创,软件服务,创业板,2016-07-08,400248.7412
300523.SZ,300523,辰安科技,软件服务,创业板,2016-07-26,336556.0436
300525.SZ,300525,博思软件,软件服务,创业板,2016-07-26,726486.3259
300527.SZ,300527,中船应急,专用机械,创业板,2016-08-05,625144.0249
300529.SZ,300529,健帆生物,医疗保健,创业板,2016-08-02,1321582.2908
300531.SZ,300531,优博讯,IT设备,创业板,2016-08-09,383811.3343
300532.SZ,300532,今天国际,软件服务,创业板,2016-08-18,432151.3229
300541.SZ,300541,先进数通,软件服务,创业板,2016-09-13,328688.1576
300548.SZ,300548,博创科技,通信设备,创业板,2016-10-12,389157.111
300552.SZ,300552,万集科技,IT设备,创业板,2016-10-21,372196.1459
300558.SZ,300558,贝达药业,化学制药,创业板,2016-11-07,1557753.8428
300563.SZ,300563,神宇股份,通信设备,创业板,2016-11-14,359766.036
300566.SZ,300566,激智科技,元器件,创业板,2016-11-15,348269.1114
300567.SZ,300567,精测电子,电器仪表,创业板,2016-11-22,1095268.652
300568.SZ,300568,星源材质,化工原料,创业板,2016-12-01,945616.4111
300569.SZ,300569,天能重工,电气设备,创业板,2016-11-25,380240.0882
300570.SZ,300570,太辰光,通信设备,创业板,2016-12-06,529580.2868
300573.SZ,300573,兴齐眼药,化学制药,创业板,2016-12-08,1091874.9431
300576.SZ,300576,容大感光,染料涂料,创业板,2016-12-20,602164.6007
300579.SZ,300579,数字认证,软件服务,创业板,2016-12-23,514066.0403
300580.SZ,300580,贝斯特,汽车配件,创业板,2017-01-11,648274.022
300581.SZ,300581,晨曦航空,航空,创业板,2016-12-20,398279.3113
300586.SZ,300586,美联新材,化工原料,创业板,2017-01-04,330314.3367
300587.SZ,300587,天铁股份,橡胶,创业板,2017-01-05,354221.8782
300590.SZ,300590,移为通信,通信设备,创业板,2017-01-11,368645.6028
300592.SZ,300592,华凯易佰,互联网,创业板,2017-01-20,430516.475
300593.SZ,300593,新雷能,电气设备,创业板,2017-01-13,430001.6435
300595.SZ,300595,欧普康视,医疗保健,创业板,2017-01-17,950599.5487
300596.SZ,300596,利安隆,化工原料,创业板,2017-01-19,531784.1432
300598.SZ,300598,诚迈科技,软件服务,创业板,2017-01-20,651413.6879
300601.SZ,300601,康泰生物,生物制药,创业板,2017-02-07,1242639.8709
300602.SZ,300602,飞荣达,元器件,创业板,2017-01-26,584528.2567
300604.SZ,300604,长川科技,半导体,创业板,2017-04-17,1390324.4853
300613.SZ,300613,富瀚微,半导体,创业板,2017-02-20,717571.1656
300617.SZ,300617,安靠智电,电气设备,创业板,2017-02-28,321111.2966
300618.SZ,300618,寒锐钴业,小金属,创业板,2017-03-06,616650.3934
300620.SZ,300620,光库科技,通信设备,创业板,2017-03-10,789342.8655
300623.SZ,300623,捷捷微电,半导体,创业板,2017-03-14,1236586.8978
300624.SZ,300624,万兴科技,软件服务,创业板,2018-01-18,683562.9983
300627.SZ,300627,华测导航,通信设备,创业板,2017-03-21,1321891.638
300628.SZ,300628,亿联网络,通信设备,创业板,2017-03-17,2436000.9416
300629.SZ,300629,新劲刚,元器件,创业板,2017-03-24,335628.6808
300633.SZ,300633,开立医疗,医疗保健,创业板,2017-04-06,1332754.2074
300634.SZ,300634,彩讯股份,软件服务,创业板,2018-03-23,597765.5145
300638.SZ,300638,广和通,通信设备,创业板,2017-04-13,580602.4224
300639.SZ,300639,凯普生物,医疗保健,创业板,2017-04-12,340448.1029
300641.SZ,300641,正丹股份,化工原料,创业板,2017-04-18,955633.6724
300653.SZ,300653,正海生物,医疗保健,创业板,2017-05-16,351360.0
300655.SZ,300655,晶瑞电材,半导体,创业板,2017-05-23,621292.7105
300657.SZ,300657,弘信电子,元器件,创业板,2017-05-23,658423.3512
300660.SZ,300660,江苏雷利,电气设备,创业板,2017-06-02,755408.5909
300661.SZ,300661,圣邦股份,半导体,创业板,2017-06-06,3252753.1929
300663.SZ,300663,科蓝软件,软件服务,创业板,2017-06-08,433529.5715
300664.SZ,300664,鹏鹞环保,环境保护,创业板,2018-01-05,303745.7868
300666.SZ,300666,江丰电子,半导体,创业板,2017-06-15,1095482.8746
300671.SZ,300671,富满微,半导体,创业板,2017-07-05,578667.5324
300672.SZ,300672,国科微,半导体,创业板,2017-07-12,950701.871
300674.SZ,300674,宇信科技,软件服务,创业板,2018-11-07,774198.945
300676.SZ,300676,华大基因,医疗保健,创业板,2017-07-14,1470634.2528
300677.SZ,300677,英科医疗,医疗保健,创业板,2017-07-21,1290497.6332
300678.SZ,300678,中科信息,软件服务,创业板,2017-07-28,609646.9698
300679.SZ,300679,电连技术,元器件,创业板,2017-07-31,1178505.4742
300682.SZ,300682,朗新集团,软件服务,创业板,2017-08-01,903120.0688
300684.SZ,300684,中石科技,元器件,创业板,2017-12-27,325287.5775
300685.SZ,300685,艾德生物,医疗保健,创业板,2017-08-02,754612.4405
300687.SZ,300687,赛意信息,软件服务,创业板,2017-08-03,419743.2251
300688.SZ,300688,创业黑马,文教休闲,创业板,2017-08-10,326160.5587
300693.SZ,300693,盛弘股份,电气设备,创业板,2017-08-22,508957.1718
300698.SZ,300698,万马科技,通信设备,创业板,2017-08-31,381717.9365
300699.SZ,300699,光威复材,化纤,创业板,2017-09-01,2272111.4735
300702.SZ,300702,天宇股份,化学制药,创业板,2017-09-19,313790.4217
300705.SZ,300705,九典制药,化学制药,创业板,2017-10-10,647251.2398
300708.SZ,300708,聚灿光电,半导体,创业板,2017-10-16,417774.2993
300709.SZ,300709,精研科技,元器件,创业板,2017-10-19,504104.1112
300711.SZ,300711,广哈通信,通信设备,创业板,2017-11-01,355001.9029
300712.SZ,300712,永福股份,建筑工程,创业板,2017-10-31,358836.819
300722.SZ,300722,新余国科,航空,创业板,2017-11-10,533309.737
300723.SZ,300723,一品红,化学制药,创业板,2017-11-16,629154.5515
300724.SZ,300724,捷佳伟创,专用机械,创业板,2018-08-10,1291738.6895
300725.SZ,300725,药石科技,化学制药,创业板,2017-11-10,443935.0047
300726.SZ,300726,宏达电子,元器件,创业板,2017-11-21,499331.7405
300729.SZ,300729,乐歌股份,家居用品,创业板,2017-12-01,417342.3841
300735.SZ,300735,光弘科技,元器件,创业板,2017-12-29,1377493.2768
300737.SZ,300737,科顺股份,其他建材,创业板,2018-01-25,379798.9142
300738.SZ,300738,奥飞数据,软件服务,创业板,2018-01-19,878715.9829
300739.SZ,300739,明阳电路,元器件,创业板,2018-02-01,345043.9209
300740.SZ,300740,水羊股份,日用化工,创业板,2018-02-08,376681.3005
300741.SZ,300741,华宝股份,食品,创业板,2018-03-01,1007575.0174
300747.SZ,300747,锐科激光,专用机械,创业板,2018-06-25,731316.9499
300748.SZ,300748,金力永磁,矿物制品,创业板,2018-09-21,1212035.081
300750.SZ,300750,宁德时代,电气设备,创业板,2018-06-11,72755881.9106
300751.SZ,300751,迈为股份,专用机械,创业板,2018-11-09,1588095.6773
300755.SZ,300755,华致酒行,其他商业,创业板,2019-01-29,514741.0189
300757.SZ,300757,罗博特科,专用机械,创业板,2019-01-08,1118155.5316
300758.SZ,300758,七彩化学,染料涂料,创业板,2019-02-22,370185.5479
300759.SZ,300759,康龙化成,化学制药,创业板,2019-01-28,2828595.1023
300760.SZ,300760,迈瑞医疗,医疗保健,创业板,2018-10-16,30296461.19
300761.SZ,300761,立华股份,农业综合,创业板,2019-02-18,1148098.4728
300762.SZ,300762,上海瀚讯,通信设备,创业板,2019-03-14,865336.8338
300763.SZ,300763,锦浪科技,电气设备,创业板,2019-03-19,1904127.9308
300765.SZ,300765,新诺威,食品,创业板,2019-03-22,2956808.741
300766.SZ,300766,每日互动,互联网,创业板,2019-03-25,356740.0571
300768.SZ,300768,迪普科技,软件服务,创业板,2019-04-12,522469.2946
300769.SZ,300769,德方纳米,化工原料,创业板,2019-04-15,622319.5679
300770.SZ,300770,新媒股份,影视音像,创业板,2019-04-19,792792.9451
300772.SZ,300772,运达股份,电气设备,创业板,2019-04-26,709438.9708
300773.SZ,300773,拉卡拉,软件服务,创业板,2019-04-25,907638.5705
300775.SZ,300775,三角防务,航空,创业板,2019-05-21,1183622.3051
300776.SZ,300776,帝尔激光,专用机械,创业板,2019-05-17,698072.2906
300777.SZ,300777,中简科技,化纤,创业板,2019-05-16,872910.135
300779.SZ,300779,惠城环保,环境保护,创业板,2019-05-22,832706.8315
300781.SZ,300781,因赛集团,广告包装,创业板,2019-06-06,337474.5138
300782.SZ,300782,卓胜微,半导体,创业板,2019-06-18,2906523.0413
300783.SZ,300783,三只松鼠,食品,创业板,2019-07-12,472796.836
300788.SZ,300788,中信出版,出版业,创业板,2019-07-05,466631.8178
300790.SZ,300790,宇瞳光学,元器件,创业板,2019-09-20,326746.1638
300791.SZ,300791,仙乐健康,医疗保健,创业板,2019-09-25,481357.2382
300792.SZ,300792,壹网壹创,互联网,创业板,2019-09-27,336198.8277
300793.SZ,300793,佳禾智能,IT设备,创业板,2019-10-18,427919.5991
300796.SZ,300796,贝斯美,农药化肥,创业板,2019-11-15,345252.5856
300797.SZ,300797,钢研纳克,电器仪表,创业板,2019-11-01,335403.4328
300803.SZ,300803,指南针,软件服务,创业板,2019-11-18,1429251.589
300806.SZ,300806,斯迪克,塑料,创业板,2019-11-25,315932.1658
300811.SZ,300811,铂科新材,矿物制品,创业板,2019-12-30,894748.2194
300814.SZ,300814,中富电路,元器件,创业板,2021-08-12,425254.6145
300815.SZ,300815,玉禾田,环境保护,创业板,2020-01-23,451905.9653
300820.SZ,300820,英杰电气,电气设备,创业板,2020-02-13,425397.0019
300821.SZ,300821,东岳硅材,化工原料,创业板,2020-03-12,777405.762
300825.SZ,300825,阿尔特,汽车服务,创业板,2020-03-27,445011.2795
300827.SZ,300827,上能电气,电气设备,创业板,2020-04-10,890287.0253
300832.SZ,300832,新产业,医疗保健,创业板,2020-05-12,4611807.0263
300833.SZ,300833,浩洋股份,专用机械,创业板,2020-05-20,315289.0871
300841.SZ,300841,康华生物,生物制药,创业板,2020-06-16,605900.6037
300842.SZ,300842,帝科股份,电气设备,创业板,2020-06-18,448993.3175
300843.SZ,300843,胜蓝股份,元器件,创业板,2020-07-02,338617.2488
300846.SZ,300846,首都在线,软件服务,创业板,2020-07-01,333081.622
300847.SZ,300847,中船汉光,化工原料,创业板,2020-07-09,412045.92
300848.SZ,300848,美瑞新材,化工原料,创业板,2020-07-20,315799.8458
300850.SZ,300850,新强联,机械基件,创业板,2020-07-13,379945.36
300852.SZ,300852,四会富仕,元器件,创业板,2020-07-13,300457.6275
300855.SZ,300855,图南股份,小金属,创业板,2020-07-23,623981.9182
300856.SZ,300856,科思股份,日用化工,创业板,2020-07-22,863098.0096
300857.SZ,300857,协创数据,IT设备,创业板,2020-07-27,1167528.9435
300859.SZ,300859,西域旅游,旅游服务,创业板,2020-08-06,378975.0
300861.SZ,300861,美畅股份,矿物制品,创业板,2020-08-24,491656.6246
