ts_code,symbol,name,industry,market,list_date,circ_mv
000596.SZ,000596,古井贡酒,白酒,主板,1996-09-27,6868566.0
000597.SZ,000597,东北制药,化学制药,主板,1996-05-23,592290.4125
000598.SZ,000598,兴蓉环境,水务,主板,1996-05-29,1930722.2499
000599.SZ,000599,青岛双星,汽车配件,主板,1996-04-30,271157.8417
000600.SZ,000600,建投能源,火力发电,主板,1996-06-06,494883.0977
000601.SZ,000601,韶能股份,水力发电,主板,1996-08-30,385574.8144
000603.SZ,000603,盛达资源,铅锌,主板,1996-08-23,630592.3894
000605.SZ,000605,渤海股份,水务,主板,1996-09-13,147026.3129
000607.SZ,000607,华媒控股,广告包装,主板,1996-08-30,265282.7484
000608.SZ,000608,阳光股份,区域地产,主板,1996-09-19,111713.9414
000610.SZ,000610,西安旅游,旅游服务,主板,1996-09-26,260450.8274
000612.SZ,000612,焦作万方,铝,主板,1996-09-26,631452.6763
000617.SZ,000617,中油资本,多元金融,主板,1996-10-22,6447460.3303
000619.SZ,000619,海螺新材,其他建材,主板,1996-10-23,141480.0
000620.SZ,000620,新华联,全国地产,主板,1996-10-29,576161.7853
000623.SZ,000623,吉林敖东,中成药,主板,1996-10-28,1538332.1593
000625.SZ,000625,长安汽车,汽车整车,主板,1997-06-10,9731733.707
000626.SZ,000626,远大控股,商贸代理,主板,1996-11-28,209845.6286
000627.SZ,000627,天茂集团,保险,主板,1996-11-12,901395.8247
000628.SZ,000628,高新发展,建筑工程,主板,1996-11-18,708406.9353
000629.SZ,000629,钒钛股份,小金属,主板,1996-11-15,2133349.8914
000630.SZ,000630,铜陵有色,铜,主板,1996-11-20,3178992.1781
000631.SZ,000631,顺发恒业,综合类,主板,1996-11-22,534147.2357
000632.SZ,000632,三木集团,综合类,主板,1996-11-21,118232.3279
000633.SZ,000633,合金投资,小金属,主板,1996-11-12,167905.136
000635.SZ,000635,英力特,化工原料,主板,1996-11-20,180034.0356
000636.SZ,000636,风华高科,元器件,主板,1996-11-29,1594364.2048
000637.SZ,000637,茂化实华,石油加工,主板,1996-11-14,115556.4761
000638.SZ,000638,万方发展,农业综合,主板,1996-11-26,114443.7268
000639.SZ,000639,西王食品,食品,主板,1996-11-26,249347.5843
000650.SZ,000650,仁和药业,中成药,主板,1996-12-10,720279.7362
000651.SZ,000651,格力电器,家用电器,主板,1996-11-18,22531148.1381
000652.SZ,000652,泰达股份,批发业,主板,1996-11-28,448234.0491
000655.SZ,000655,金岭矿业,普钢,主板,1996-11-28,312553.6208
000657.SZ,000657,中钨高新,小金属,主板,1996-12-05,960847.4971
000659.SZ,000659,珠海中富,广告包装,主板,1996-12-03,267426.1242
000661.SZ,000661,长春高新,生物制药,主板,1996-12-18,3180689.6012
000663.SZ,000663,永安林业,林业,主板,1996-12-06,128646.5023
000665.SZ,000665,湖北广电,影视音像,主板,1996-12-10,391165.9535
000670.SZ,000670,盈方微,元器件,主板,1996-12-17,316282.7399
000672.SZ,000672,上峰水泥,水泥,主板,1996-12-18,611688.529
000676.SZ,000676,智度股份,互联网,主板,1996-12-24,753215.8558
000677.SZ,000677,恒天海龙,化纤,主板,1996-12-26,212538.5752
000678.SZ,000678,襄阳轴承,汽车配件,主板,1997-01-06,191198.5076
000679.SZ,000679,大连友谊,百货,主板,1997-01-24,106563.6
000680.SZ,000680,山推股份,工程机械,主板,1997-01-22,892053.5994
000681.SZ,000681,视觉中国,互联网,主板,1997-01-21,739570.0295
000682.SZ,000682,东方电子,电气设备,主板,1997-01-21,1431755.0937
000683.SZ,000683,远兴能源,化工原料,主板,1997-01-31,1910668.1834
000685.SZ,000685,中山公用,水务,主板,1997-01-23,915392.3775
000686.SZ,000686,东北证券,证券,主板,1997-02-27,1331717.7086
000688.SZ,000688,国城矿业,铅锌,主板,1997-01-20,1052868.2576
000690.SZ,000690,宝新能源,火力发电,主板,1997-01-28,865439.4361
000691.SZ,000691,亚太实业,化工原料,主板,1997-02-28,122519.33
000692.SZ,000692,惠天热电,供气供热,主板,1997-02-27,152923.0641
000695.SZ,000695,滨海能源,广告包装,主板,1997-02-18,230367.4582
000697.SZ,000697,炼石航空,航空,主板,1997-03-25,302298.5784
000698.SZ,000698,沈阳化工,石油加工,主板,1997-02-20,208213.2753
000700.SZ,000700,模塑科技,汽车配件,主板,1997-02-28,526940.8333
000701.SZ,000701,厦门信达,商贸代理,主板,1997-02-26,222189.2696
000702.SZ,000702,正虹科技,饲料,主板,1997-03-18,121052.0975
000703.SZ,000703,恒逸石化,化纤,主板,1997-03-28,2170164.7451
000705.SZ,000705,浙江震元,医药商业,主板,1997-04-10,199067.8202
000707.SZ,000707,双环科技,化工原料,主板,1997-04-15,316547.4117
000708.SZ,000708,中信特钢,特种钢,主板,1997-03-26,5698239.7585
000709.SZ,000709,河钢股份,普钢,主板,1997-04-16,1870709.644
000710.SZ,000710,贝瑞基因,医疗保健,主板,1997-04-22,224690.5667
000712.SZ,000712,锦龙股份,证券,主板,1997-04-15,829805.8808
000713.SZ,000713,丰乐种业,种植业,主板,1997-04-22,341392.3289
000715.SZ,000715,中兴商业,百货,主板,1997-05-08,199228.5571
000716.SZ,000716,黑芝麻,食品,主板,1997-04-18,252949.7167
000717.SZ,000717,中南股份,普钢,主板,1997-05-08,399881.4336
000718.SZ,000718,苏宁环球,区域地产,主板,1997-04-08,399601.2339
000719.SZ,000719,中原传媒,出版业,主板,1997-03-31,713180.7235
000720.SZ,000720,新能泰山,电气设备,主板,1997-05-09,286489.1982
000721.SZ,000721,西安饮食,酒店餐饮,主板,1997-04-30,287438.7614
000722.SZ,000722,湖南发展,其他建材,主板,1997-05-22,376896.525
000723.SZ,000723,美锦能源,焦炭加工,主板,1997-05-15,1748609.3898
000725.SZ,000725,京东方A,元器件,主板,2001-01-12,14335702.543
000726.SZ,000726,鲁泰A,纺织,主板,2000-12-25,321345.018
000727.SZ,000727,冠捷科技,元器件,主板,1997-05-20,896854.262
000728.SZ,000728,国元证券,证券,主板,1997-06-16,2762271.405
000729.SZ,000729,燕京啤酒,啤酒,主板,1997-07-16,2431808.8603
000731.SZ,000731,四川美丰,农药化肥,主板,1997-06-17,380961.8195
000733.SZ,000733,振华科技,元器件,主板,1997-07-03,2021275.9432
000735.SZ,000735,罗牛山,农业综合,主板,1997-06-11,558185.2957
000736.SZ,000736,中交地产,全国地产,主板,1997-04-25,507666.593
