ts_code,symbol,name,industry,market,list_date,circ_mv
000800.SZ,000800,一汽解放,汽车整车,主板,1997-06-18,3975254.7971
000801.SZ,000801,四川九洲,家用电器,主板,1998-05-06,970643.5071
000807.SZ,000807,云铝股份,铝,主板,1998-04-08,4841187.91
000810.SZ,000810,创维数字,家用电器,主板,1998-06-02,1125414.7905
000811.SZ,000811,冰轮环境,工程机械,主板,1998-05-28,708537.0636
000818.SZ,000818,航锦科技,化工原料,主板,1997-10-17,1209778.1764
000825.SZ,000825,太钢不锈,特种钢,主板,1998-10-21,2044952.9588
000828.SZ,000828,东莞控股,路桥,主板,1997-06-17,1050950.3141
000829.SZ,000829,天音控股,其他商业,主板,1997-12-02,994429.9086
000830.SZ,000830,鲁西化工,化工原料,主板,1998-08-07,2192901.3884
000831.SZ,000831,中国稀土,小金属,主板,1998-09-11,2731582.3572
000837.SZ,000837,秦川机床,机床制造,主板,1998-09-28,767014.7841
000848.SZ,000848,承德露露,软饮料,主板,1997-11-13,836819.6939
000858.SZ,000858,五粮液,白酒,主板,1998-04-27,57345663.75
000860.SZ,000860,顺鑫农业,白酒,主板,1998-11-04,1364109.4928
000869.SZ,000869,张裕A,红黄酒,主板,2000-10-26,1069623.1683
000875.SZ,000875,吉电股份,火力发电,主板,2002-09-26,1425672.7788
000876.SZ,000876,新希望,饲料,主板,1998-03-11,4326230.7995
000877.SZ,000877,天山股份,水泥,主板,1999-01-07,943868.8551
000878.SZ,000878,云南铜业,铜,主板,1998-06-02,2558583.1096
000883.SZ,000883,湖北能源,水力发电,主板,1998-05-19,3246357.9835
000885.SZ,000885,城发环境,环境保护,主板,1999-03-19,765357.28
000887.SZ,000887,中鼎股份,汽车配件,主板,1998-12-03,1691594.9725
000893.SZ,000893,亚钾国际,农药化肥,主板,1998-12-24,1439388.9052
000895.SZ,000895,双汇发展,食品,主板,1998-12-10,8892405.6508
000898.SZ,000898,鞍钢股份,普钢,主板,1997-12-25,1782429.0947
000899.SZ,000899,赣能股份,火力发电,主板,1997-11-26,809812.5408
000901.SZ,000901,航天科技,汽车配件,主板,1999-04-01,831717.503
000902.SZ,000902,新洋丰,农药化肥,主板,1999-04-08,1415907.1904
000913.SZ,000913,钱江摩托,摩托车,主板,1999-05-14,822094.63
000917.SZ,000917,电广传媒,广告包装,主板,1999-03-25,836301.0242
000921.SZ,000921,海信家电,家用电器,主板,1999-07-13,2950686.1742
000923.SZ,000923,河钢资源,普钢,主板,1999-07-14,961936.2568
000927.SZ,000927,中国铁物,仓储物流,主板,1999-07-27,1579141.5016
000928.SZ,000928,中钢国际,建筑工程,主板,1999-03-12,853603.1072
000930.SZ,000930,中粮科技,农业综合,主板,1999-07-12,993083.7423
000932.SZ,000932,华菱钢铁,普钢,主板,1999-08-03,2956857.9375
000933.SZ,000933,神火股份,铝,主板,1999-08-31,4105035.8316
000935.SZ,000935,四川双马,水泥,主板,1999-08-24,962698.2599
000937.SZ,000937,冀中能源,煤炭开采,主板,1999-09-09,1796278.7024
000938.SZ,000938,紫光股份,IT设备,主板,1999-11-04,6289315.6429
000950.SZ,000950,重药控股,医药商业,主板,1999-09-16,922850.6277
000951.SZ,000951,中国重汽,汽车整车,主板,1999-11-25,1924436.0117
000958.SZ,000958,电投产融,多元金融,主板,1999-12-23,2201808.9722
000959.SZ,000959,首钢股份,普钢,主板,1999-12-16,2010744.4669
000960.SZ,000960,锡业股份,小金属,主板,2000-02-21,2475286.1358
000963.SZ,000963,华东医药,化学制药,主板,2000-01-27,5674679.8251
000966.SZ,000966,长源电力,火力发电,主板,2000-03-16,1228949.4815
000967.SZ,000967,盈峰环境,环境保护,主板,2000-03-30,1373798.2857
000969.SZ,000969,安泰科技,小金属,主板,2000-05-29,917244.3093
000970.SZ,000970,中科三环,矿物制品,主板,2000-04-20,1075917.3091
000975.SZ,000975,山金国际,黄金,主板,2000-06-08,4407125.7092
000977.SZ,000977,浪潮信息,IT设备,主板,2000-06-08,5547745.1813
000983.SZ,000983,山西焦煤,煤炭开采,主板,2000-07-26,4092668.3326
000987.SZ,000987,越秀资本,多元金融,主板,2000-07-18,3139535.0398
000988.SZ,000988,华工科技,专用机械,主板,2000-06-08,3221984.0163
000990.SZ,000990,诚志股份,化工原料,主板,2000-07-06,915073.1862
000997.SZ,000997,新大陆,IT设备,主板,2000-08-07,1606255.2013
000998.SZ,000998,隆平高科,种植业,主板,2000-12-11,1365022.4667
000999.SZ,000999,华润三九,中成药,主板,2000-03-09,5521234.8023
001203.SZ,001203,大中矿业,普钢,主板,2021-05-10,1034518.9344
001213.SZ,001213,中铁特货,铁路,主板,2021-09-08,1804444.4443
001286.SZ,001286,陕西能源,火力发电,主板,2023-04-10,1073100.0
001287.SZ,001287,中电港,元器件,主板,2023-04-10,781623.9679
001301.SZ,001301,尚太科技,电气设备,主板,2022-12-28,765504.1072
001696.SZ,001696,宗申动力,摩托车,主板,1997-03-06,1215787.3849
001872.SZ,001872,招商港口,港口,主板,1993-05-05,3629242.8029
001914.SZ,001914,招商积余,房产服务,主板,1994-09-28,1122902.9828
001965.SZ,001965,招商公路,路桥,主板,2017-12-25,8000255.7632
001979.SZ,001979,招商蛇口,全国地产,主板,2015-12-30,9337887.02
002001.SZ,002001,新和成,化学制药,主板,2004-06-25,6377790.9972
002003.SZ,002003,伟星股份,服饰,主板,2004-06-25,1324504.1351
002004.SZ,002004,华邦健康,农药化肥,主板,2004-06-25,833827.4488
002007.SZ,002007,华兰生物,生物制药,主板,2004-06-25,2582789.4181
002008.SZ,002008,大族激光,专用机械,主板,2004-06-25,2094688.3947
002010.SZ,002010,传化智联,仓储物流,主板,2004-06-29,1150830.8269
002011.SZ,002011,盾安环境,家用电器,主板,2004-07-05,1005194.4615
002015.SZ,002015,协鑫能科,新型电力,主板,2004-07-08,1246713.3036
002019.SZ,002019,亿帆医药,化学制药,主板,2004-07-13,977792.881
002020.SZ,002020,京新药业,化学制药,主板,2004-07-15,850662.7936
002025.SZ,002025,航天电器,元器件,主板,2004-07-26,2300820.2664
002027.SZ,002027,分众传媒,广告包装,主板,2004-08-04,9416314.2214
002028.SZ,002028,思源电气,电气设备,主板,2004-08-05,4200980.5124
002030.SZ,002030,达安基因,医疗保健,主板,2004-08-09,819612.4827
002032.SZ,002032,苏泊尔,家用电器,主板,2004-08-17,4415016.2788
002036.SZ,002036,联创电子,元器件,主板,2004-09-03,858619.6378
002041.SZ,002041,登海种业,种植业,主板,2005-04-18,777920.0
002043.SZ,002043,兔宝宝,其他建材,主板,2005-05-10,829559.8834
002044.SZ,002044,美年健康,医疗保健,主板,2005-05-18,1525744.7957
002048.SZ,002048,宁波华翔,汽车配件,主板,2005-06-03,704461.7109
002049.SZ,002049,紫光国微,半导体,主板,2005-06-06,4816505.8148
002050.SZ,002050,三花智控,家用电器,主板,2005-06-07,7953865.2215
002051.SZ,002051,中工国际,建筑工程,主板,2006-06-19,947772.219
002053.SZ,002053,云南能投,食品,主板,2006-06-27,1056963.9433
002056.SZ,002056,横店东磁,电气设备,主板,2006-08-02,2109325.2957
002061.SZ,002061,浙江交科,建筑工程,主板,2006-08-16,990271.5399
002063.SZ,002063,远光软件,软件服务,主板,2006-08-23,937449.7046
002064.SZ,002064,华峰化学,化纤,主板,2006-08-23,3852648.665
002065.SZ,002065,东华软件,软件服务,主板,2006-08-23,1512119.2575
002073.SZ,002073,软控股份,专用机械,主板,2006-10-18,725408.8879
002074.SZ,002074,国轩高科,电气设备,主板,2006-10-18,2795883.3252
002075.SZ,002075,沙钢股份,特种钢,主板,2006-10-25,1193439.1245
002078.SZ,002078,太阳纸业,造纸,主板,2006-11-16,3954771.5157
002079.SZ,002079,苏州固锝,电气设备,主板,2006-11-16,743546.581
002080.SZ,002080,中材科技,玻璃,主板,2006-11-20,1948301.481
002081.SZ,002081,金螳螂,装修装饰,主板,2006-11-20,896125.86
002085.SZ,002085,万丰奥威,汽车配件,主板,2006-11-28,2972616.528
002091.SZ,002091,江苏国泰,商贸代理,主板,2006-12-08,1157992.8158
002099.SZ,002099,海翔药业,化学制药,主板,2006-12-26,944056.1135
002100.SZ,002100,天康生物,饲料,主板,2006-12-26,903796.5029
002101.SZ,002101,广东鸿图,汽车配件,主板,2006-12-29,727615.9555
002110.SZ,002110,三钢闽光,普钢,主板,2007-01-26,799166.0787
002120.SZ,002120,韵达股份,仓储物流,主板,2007-03-06,2322476.7035
002126.SZ,002126,银轮股份,汽车配件,主板,2007-04-18,1396954.6377
002128.SZ,002128,电投能源,铝,主板,2007-04-18,3937587.4175
002129.SZ,002129,TCL中环,电气设备,主板,2007-04-20,3805734.2649
002130.SZ,002130,沃尔核材,电气设备,主板,2007-04-20,1607654.929
002131.SZ,002131,利欧股份,互联网,主板,2007-04-27,1000561.4812
002138.SZ,002138,顺络电子,元器件,主板,2007-06-13,1978208.2672
002139.SZ,002139,拓邦股份,元器件,主板,2007-06-29,1113186.3632
002142.SZ,002142,宁波银行,银行,主板,2007-07-19,15330455.7207
002145.SZ,002145,中核钛白,化工原料,主板,2007-08-03,1498338.3657
002151.SZ,002151,北斗星通,通信设备,主板,2007-08-13,1120187.2844
002152.SZ,002152,广电运通,IT设备,主板,2007-08-13,2640990.2706
002153.SZ,002153,石基信息,软件服务,主板,2007-08-13,1065442.6935
002155.SZ,002155,湖南黄金,黄金,主板,2007-08-16,2001193.1653
002156.SZ,002156,通富微电,半导体,主板,2007-08-16,3171414.6385
002158.SZ,002158,汉钟精机,工程机械,主板,2007-08-17,981827.9542
002171.SZ,002171,楚江新材,铜,主板,2007-09-21,813552.4524
002174.SZ,002174,游族网络,互联网,主板,2007-09-25,771833.1478
002176.SZ,002176,江特电机,小金属,主板,2007-10-12,1334106.9487
002179.SZ,002179,中航光电,元器件,主板,2007-11-01,8168165.9809
002180.SZ,002180,纳思达,IT设备,主板,2007-11-13,3705110.7148
002182.SZ,002182,宝武镁业,小金属,主板,2007-11-13,821541.6464
002183.SZ,002183,怡亚通,仓储物流,主板,2007-11-13,927126.8905
002185.SZ,002185,华天科技,半导体,主板,2007-11-20,2719975.0843
002192.SZ,002192,融捷股份,小金属,主板,2007-12-05,892410.0652
002195.SZ,002195,岩山科技,软件服务,主板,2007-12-12,1448166.6451
002202.SZ,002202,金风科技,电气设备,主板,2007-12-26,3102321.8136
002203.SZ,002203,海亮股份,铜,主板,2008-01-16,1685269.6559
002204.SZ,002204,大连重工,专用机械,主板,2008-01-16,853665.5541
002216.SZ,002216,三全食品,食品,主板,2008-02-20,719752.6135
002221.SZ,002221,东华能源,石油加工,主板,2008-03-06,1311879.0961
002222.SZ,002222,福晶科技,元器件,主板,2008-03-19,1143226.488
002223.SZ,002223,鱼跃医疗,医疗保健,主板,2008-04-18,3336984.8222
002226.SZ,002226,江南化工,化工原料,主板,2008-05-06,769447.4963
002230.SZ,002230,科大讯飞,软件服务,主板,2008-05-12,8825322.9794
002233.SZ,002233,塔牌集团,水泥,主板,2008-05-16,905528.5742
002236.SZ,002236,大华股份,IT设备,主板,2008-05-20,3359512.1214
002237.SZ,002237,恒邦股份,黄金,主板,2008-05-20,951403.9574
002239.SZ,002239,奥特佳,汽车配件,主板,2008-05-22,843219.8174
002240.SZ,002240,盛新锂能,小金属,主板,2008-05-23,1204643.5765
002241.SZ,002241,歌尔股份,元器件,主板,2008-05-22,6302885.0576
002242.SZ,002242,九阳股份,家用电器,主板,2008-05-28,798631.0451
002244.SZ,002244,滨江集团,区域地产,主板,2008-05-29,2778918.4746
002245.SZ,002245,蔚蓝锂芯,电气设备,主板,2008-06-05,881768.8754
002249.SZ,002249,大洋电机,电气设备,主板,2008-06-19,927787.531
002252.SZ,002252,上海莱士,生物制药,主板,2008-06-23,4916379.1025
002254.SZ,002254,泰和新材,化纤,主板,2008-06-25,751898.2211
002261.SZ,002261,拓维信息,软件服务,主板,2008-07-23,1694438.3094
002262.SZ,002262,恩华药业,化学制药,主板,2008-07-23,2204481.375
002266.SZ,002266,浙富控股,环境保护,主板,2008-08-06,1508214.7228
002267.SZ,002267,陕天然气,供气供热,主板,2008-08-13,804030.5467
002268.SZ,002268,电科网安,IT设备,主板,2008-08-11,1295277.5516
002270.SZ,002270,华明装备,电气设备,主板,2008-09-05,1261831.4398
002271.SZ,002271,东方雨虹,其他建材,主板,2008-09-10,2423007.9204
002273.SZ,002273,水晶光电,元器件,主板,2008-09-19,2350548.1473
002274.SZ,002274,华昌化工,农药化肥,主板,2008-09-25,709951.7914
002275.SZ,002275,桂林三金,中成药,主板,2009-07-10,808373.7429
002276.SZ,002276,万马股份,电气设备,主板,2009-07-10,751802.3353
002281.SZ,002281,光迅科技,通信设备,主板,2009-08-21,2326414.1466
002287.SZ,002287,奇正藏药,中成药,主板,2009-08-28,1103963.0259
002294.SZ,002294,信立泰,化学制药,主板,2009-09-10,3579985.144
002299.SZ,002299,圣农发展,农业综合,主板,2009-10-21,1567841.3002
002302.SZ,002302,西部建设,水泥,主板,2009-11-03,786446.7314
002304.SZ,002304,洋河股份,白酒,主板,2009-11-06,13694166.7768
002311.SZ,002311,海大集团,饲料,主板,2009-11-27,7358319.2871
002312.SZ,002312,川发龙蟒,化工原料,主板,2009-12-03,1567395.2324
