ts_code,MA120,MA250,PC120,PC250,250RPS_Rank,250RPS,120RPS_Rank,120RPS
603639.SH,13.42,14.88,-0.10155,-0.2593,2139.0,55.88,1837.0,62.11
603648.SH,8.43,8.98,-0.15011,-0.20148,1614.0,66.71,2476.0,48.93
603650.SH,28.42,29.9,-0.03246,-0.06387,789.0,83.74,1095.0,77.42
603655.SH,15.15,17.92,-0.0954,-0.39464,3517.0,27.45,1774.0,63.41
603656.SH,11.41,12.43,-0.25787,-0.22329,1791.0,63.06,3676.0,24.16
603657.SH,12.28,13.46,-0.03743,-0.38086,3384.0,30.19,1143.0,76.43
603658.SH,49.74,49.87,-0.34009,-0.13865,1162.0,76.04,4285.0,11.6
603659.SH,15.99,20.1,-0.35727,-0.68682,4806.0,0.85,4372.0,9.8
603660.SH,6.01,6.55,-0.40887,-0.21697,1738.0,64.16,4573.0,5.65
603661.SH,41.64,39.27,-0.23332,-0.02068,649.0,86.63,3466.0,28.5
603662.SH,26.23,28.58,-0.23894,-0.14286,1185.0,75.57,3512.0,27.55
603663.SH,14.73,12.43,0.38233,0.54149,64.0,98.7,58.0,98.82
603665.SH,19.61,22.11,-0.40581,-0.52896,4460.0,7.99,4557.0,5.98
603666.SH,19.11,24.78,-0.28969,-0.42068,3763.0,22.37,3936.0,18.8
603667.SH,16.38,17.47,-0.23122,-0.09403,915.0,81.14,3445.0,28.93
603668.SH,13.32,15.09,-0.31968,-0.31713,2737.0,43.54,4152.0,14.34
603669.SH,4.51,4.81,0.10302,-0.09298,910.0,81.24,390.0,91.97
603676.SH,8.41,9.27,-0.01502,-0.24976,2051.0,57.7,969.0,80.02
603677.SH,11.7,12.63,-0.10383,-0.23898,1939.0,60.01,1870.0,61.43
603678.SH,23.26,25.1,0.04507,-0.3461,3051.0,37.06,596.0,87.72
603679.SH,11.91,12.96,0.00577,-0.25605,2106.0,56.56,820.0,83.1
603680.SH,7.39,8.22,-0.08377,-0.23077,1860.0,61.64,1634.0,66.3
603681.SH,12.62,13.14,-0.09231,-0.19362,1547.0,68.1,1732.0,64.28
603682.SH,4.26,5.04,-0.19318,-0.44094,3914.0,19.25,3054.0,37.0
603683.SH,8.41,9.36,-0.05489,-0.23478,1903.0,60.75,1305.0,73.09
603685.SH,12.03,13.33,-0.11475,-0.28947,2465.0,49.15,2007.0,58.61
603686.SH,8.56,9.17,-0.10256,-0.24731,2022.0,58.3,1854.0,61.76
603687.SH,8.61,9.54,-0.42376,-0.39501,3525.0,27.28,4615.0,4.79
603688.SH,51.69,70.14,-0.69733,-0.73225,4833.0,0.29,4844.0,0.06
603689.SH,8.78,8.57,0.05348,0.0,586.0,87.93,554.0,88.59
603690.SH,23.72,25.09,-0.2766,-0.26515,2218.0,54.25,3838.0,20.82
603693.SH,11.34,11.36,-0.13289,-0.2632,2200.0,54.62,2247.0,53.65
603696.SH,7.57,8.54,-0.15844,-0.31646,2730.0,43.69,2597.0,46.43
603697.SH,6.27,7.42,-0.17664,-0.34837,3072.0,36.63,2846.0,41.29
603698.SH,12.59,13.24,0.03529,-0.09091,900.0,81.45,639.0,86.83
603699.SH,18.11,16.11,0.1549,0.36274,125.0,97.44,246.0,94.94
603700.SH,10.26,11.94,-0.10373,-0.27467,2311.0,52.33,1868.0,61.47
603701.SH,10.68,12.03,0.0303,-0.22614,1818.0,62.51,671.0,86.17
603703.SH,10.03,10.71,-0.12906,-0.11509,1028.0,78.81,2196.0,54.7
603706.SH,15.04,15.39,0.08692,-0.09943,938.0,80.66,426.0,91.23
603707.SH,12.29,12.91,-0.10314,-0.13721,1151.0,76.27,1865.0,61.54
603708.SH,9.26,10.63,-0.20243,-0.3493,3087.0,36.32,3162.0,34.77
603709.SH,12.2,14.45,-0.31562,-0.47336,4134.0,14.71,4126.0,14.88
603711.SH,14.69,15.15,-0.21274,-0.36449,3223.0,33.51,3258.0,32.79
603712.SH,20.74,24.37,-0.42521,-0.40158,3592.0,25.9,4621.0,4.66
603713.SH,54.48,57.54,0.00092,-0.50103,4317.0,10.94,852.0,82.44
603716.SH,6.81,8.79,-0.18432,-0.5171,4412.0,8.98,2954.0,39.06
603717.SH,6.29,6.61,-0.15238,-0.25936,2141.0,55.84,2511.0,48.2
603718.SH,7.35,8.83,-0.16288,-0.30576,2631.0,45.73,2664.0,45.05
603719.SH,13.28,16.88,-0.32243,-0.56489,4588.0,5.34,4172.0,13.93
603721.SH,25.86,24.29,-0.28367,0.17237,266.0,94.53,3899.0,19.56
603722.SH,41.09,42.7,-0.12692,-0.25638,2112.0,56.44,2166.0,55.32
603725.SH,7.95,8.87,-0.32205,-0.34202,3009.0,37.93,4169.0,13.99
603726.SH,12.91,13.39,0.1151,0.07046,410.0,91.56,355.0,92.7
603727.SH,13.05,12.79,-0.10017,-0.17953,1439.0,70.33,1823.0,62.4
603728.SH,46.84,54.42,-0.3876,-0.36335,3213.0,33.72,4503.0,7.1
603729.SH,16.45,19.27,-0.45182,-0.26336,2202.0,54.58,4680.0,3.45
603730.SH,10.65,13.21,-0.27765,-0.50108,4319.0,10.9,3850.0,20.57
603733.SH,17.79,17.32,0.04873,-0.17792,1430.0,70.51,573.0,88.2
603737.SH,36.01,45.48,-0.25921,-0.64836,4766.0,1.67,3691.0,23.85
603738.SH,13.34,14.37,-0.04951,-0.06907,807.0,83.37,1250.0,74.23
603739.SH,12.8,13.01,0.06413,-0.2021,1619.0,66.61,515.0,89.39
603755.SH,22.52,24.89,0.24497,-0.26629,2231.0,53.98,125.0,97.44
603757.SH,20.5,22.19,-0.22935,-0.28247,2394.0,50.62,3421.0,29.43
603758.SH,8.43,9.42,-0.25747,-0.32568,2836.0,41.5,3673.0,24.23
603759.SH,6.4,7.33,-0.13505,-0.35227,3104.0,35.97,2270.0,53.18
603766.SH,6.57,5.91,0.25568,0.26527,184.0,96.22,114.0,97.67
603767.SH,12.83,14.48,-0.3426,-0.26729,2243.0,53.74,4292.0,11.45
603768.SH,12.61,15.15,-0.13633,-0.22813,1828.0,62.3,2286.0,52.85
603773.SH,23.5,27.11,-0.29002,-0.35584,3136.0,35.31,3940.0,18.72
603776.SH,10.67,11.95,-0.15391,-0.3029,2601.0,46.35,2541.0,47.59
603777.SH,10.07,11.69,-0.25466,-0.39481,3520.0,27.38,3653.0,24.64
603778.SH,3.28,4.18,-0.24507,-0.53793,4497.0,7.22,3570.0,26.35
603779.SH,8.74,9.08,-0.11136,-0.12596,1085.0,77.63,1973.0,59.31
603786.SH,61.35,65.5,-0.30081,-0.41117,3675.0,24.18,4021.0,17.04
603787.SH,10.5,11.67,-0.04965,-0.39406,3513.0,27.53,1253.0,74.16
603788.SH,12.47,13.25,-0.0188,-0.05437,752.0,84.5,998.0,79.43
603789.SH,7.61,8.27,-0.29135,-0.28979,2469.0,49.07,3949.0,18.53
603790.SH,10.05,11.52,-0.06533,-0.33558,2944.0,39.27,1412.0,70.88
603797.SH,3.72,4.58,-0.2634,-0.45983,4048.0,16.49,3715.0,23.36
603798.SH,8.9,9.23,-0.18317,-0.21091,1691.0,65.13,2938.0,39.39
603799.SH,25.98,29.93,-0.16186,-0.52542,4437.0,8.46,2648.0,45.38
603800.SH,21.34,24.58,-0.23084,-0.45365,4016.0,17.15,3440.0,29.03
603801.SH,13.88,16.54,-0.3419,-0.59633,4678.0,3.49,4289.0,11.51
603803.SH,6.41,7.17,-0.14568,-0.25232,2072.0,57.26,2407.0,50.35
603806.SH,21.64,23.75,-0.46942,-0.48751,4241.0,12.51,4716.0,2.7
